		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.211914	M = 1250	N = 8	m = 10	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
0101011111   2    2    1    2    1    3    2    2   5.335709 0.721166 SUCCESS 123
0101100011   0    0    0    0    2    1    2    1   6.015522 0.645493 SUCCESS 124
0101100111   2    0    1    1    2    2    1    1   2.931092 0.938607 SUCCESS 125
0101101111   2    4    2    3    0    1    3    8  52.586839 0.000000 FAILURE 126
0101110011   1    2    1    2    2    1    1    0   2.931092 0.938607 SUCCESS 127
0101110111   2    2    5    4    3    4    3    1  31.365891 0.000121 FAILURE 128
0101111011   3    2    4    1    7    3    2    3  43.532437 0.000001 FAILURE 129
0101111111   8   11    7    6    6    9    3    4  244.449184 0.000000 FAILURE 130
0110000111   2    0    2    0    0    0    1    1   6.015522 0.645493 SUCCESS 131
0110001111   3    0    0    2    0    3    2    2  10.570437 0.227246 SUCCESS 132
0110010111   0    1    1    2    2    1    0    0   4.827071 0.775889 SUCCESS 133
0110011111   3    2    2    1    5    0    2    2  17.983179 0.021353 SUCCESS 134
0110100111   1    2    0    0    0    2    1    2   5.307994 0.724207 SUCCESS 135
0110101111   5    1    3    3    5    2    4    2  36.854938 0.000012 FAILURE 136
0110110111   2    3    2    3    3    2    2    0  11.305680 0.184973 SUCCESS 137
0110111111   2    6    2    5    8    5    7    9  161.179339 0.000000 FAILURE 138
0111001111   1    3    2    3    3    2    3    3  14.417824 0.071504 SUCCESS 139
0111011111   6    5   12    6    7    6    8    7  260.916327 0.000000 FAILURE 140
0111111111  13   19   13   15   17   12   10   14  1160.931019 0.000000 FAILURE 141
1000000000   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS 142
1000100000   1    0    0    0    0    0    0    0   8.619030 0.375446 SUCCESS 143
1000110000   1    0    0    0    0    0    0    0   8.619030 0.375446 SUCCESS 144
1001000000   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS 145
1001001000   1    0    0    0    0    0    0    0   8.619030 0.375446 SUCCESS 146
1001010000   0    0    0    0    0    0    0    0   9.807481 0.278799 SUCCESS 147

